"Cervantes_Salazar_cronica_ nueva_españa" "Hurtado_ cartas" "Hurtado_ Guerra_Granada" "Hurtado_canciones" "Hurtado_églogas" "Hurtado_elegías" "Hurtado_epístolas" "Hurtado_fábulas" "Hurtado_octavas" "Hurtado_poesías_satírico_burlescas" "Hurtado_poesías_varias" "Hurtado_sátiras" "Hurtado_sonetos" "lazarillo_tormes" "Valdés_A_dialogo_cosas_acaecidas_roma" "Valdés_A_dialogo_mercurio_carón" "Valdés_J_ dialogo_lengua"
"Cervantes_Salazar_cronica_ nueva_españa" 0 0.931864019194817 1.05807653712283 0.953309970820355 0.915923424994807 0.913926210490054 0.882765233441133 0.92081445905131 0.831179803595559 0.888356393405771 0.943062522684498 0.878217075212835 0.916324205367278 0.87149879906397 0.918959506098843 0.958918939181855 0.944453944935905
"Hurtado_ cartas" 0.931864019194817 0 1.13189415178342 0.635449942084197 0.614146170749288 0.644913301942915 0.642068027483443 0.709286882852039 0.628340563718016 0.669886592857617 0.556470651236425 0.718024908266411 0.644450041589038 0.816335959642104 0.900103518489211 0.939393510182994 0.877844074101606
"Hurtado_ Guerra_Granada" 1.05807653712283 1.13189415178342 0 1.18898886348568 1.15286112195872 1.14786157066296 1.07109474727944 1.15190235745135 1.0783602676202 1.14295108355635 1.14831221042129 1.14315304930931 1.15787362333716 1.04573380777579 1.08337696992919 1.05363133002022 1.14438432327806
"Hurtado_canciones" 0.953309970820355 0.635449942084197 1.18898886348568 0 0.575462671177083 0.608523841446221 0.707912357511216 0.67512448000125 0.571798569707366 0.688503162508616 0.649573809665983 0.70215341532249 0.617539369360026 0.86385340789509 0.950583823544704 1.01229330592488 0.924987553488363
"Hurtado_églogas" 0.915923424994807 0.614146170749288 1.15286112195872 0.575462671177083 0 0.574029438234155 0.684859624145582 0.667668882087959 0.546651703587101 0.649699989155824 0.631769583896757 0.65967918674525 0.596225273339889 0.811800653759032 0.887538199656276 0.952766958390846 0.877927895097874
"Hurtado_elegías" 0.913926210490054 0.644913301942915 1.14786157066296 0.608523841446221 0.574029438234155 0 0.708226904144088 0.659283079668403 0.521793133595237 0.667891150251104 0.681068770981209 0.687929336292069 0.621950003613859 0.839191254152536 0.914085692490409 0.9815253823298 0.899766307066618
"Hurtado_epístolas" 0.882765233441133 0.642068027483443 1.07109474727944 0.707912357511216 0.684859624145582 0.708226904144088 0 0.717264450456356 0.696510447841196 0.688875311838097 0.657490020900394 0.734891830955182 0.675791099176353 0.789102749607168 0.885049006855174 0.896720739395069 0.871235067530455
"Hurtado_fábulas" 0.92081445905131 0.709286882852039 1.15190235745135 0.67512448000125 0.667668882087959 0.659283079668403 0.717264450456356 0 0.631062252119763 0.714841965953184 0.736136307134573 0.74253001420034 0.696413541257259 0.876622689425722 0.959853255195701 1.02835253083541 0.954668247419316
"Hurtado_octavas" 0.831179803595559 0.628340563718016 1.0783602676202 0.571798569707366 0.546651703587101 0.521793133595237 0.696510447841196 0.631062252119763 0 0.614548272965952 0.639261754868454 0.613966806216907 0.577449443140294 0.758006260032493 0.821768282190804 0.905986993620322 0.7948071739782
"Hurtado_poesías_satírico_burlescas" 0.888356393405771 0.669886592857617 1.14295108355635 0.688503162508616 0.649699989155824 0.667891150251104 0.688875311838097 0.714841965953184 0.614548272965952 0 0.677924177493916 0.668963935235399 0.659033396032734 0.790453535266042 0.89058698752812 0.938116484448361 0.872412290768907
"Hurtado_poesías_varias" 0.943062522684498 0.556470651236425 1.14831221042129 0.649573809665983 0.631769583896757 0.681068770981209 0.657490020900394 0.736136307134573 0.639261754868454 0.677924177493916 0 0.694714721579447 0.644293882810042 0.835073865344489 0.911054093703617 0.959366810309137 0.878868504075635
"Hurtado_sátiras" 0.878217075212835 0.718024908266411 1.14315304930931 0.70215341532249 0.65967918674525 0.687929336292069 0.734891830955182 0.74253001420034 0.613966806216907 0.668963935235399 0.694714721579447 0 0.663264595196329 0.836063125671984 0.901050945883019 0.967427641602113 0.884146853914478
"Hurtado_sonetos" 0.916324205367278 0.644450041589038 1.15787362333716 0.617539369360026 0.596225273339889 0.621950003613859 0.675791099176353 0.696413541257259 0.577449443140294 0.659033396032734 0.644293882810042 0.663264595196329 0 0.824740059413669 0.928029753978756 0.983352262951701 0.89863909866091
"lazarillo_tormes" 0.87149879906397 0.816335959642104 1.04573380777579 0.86385340789509 0.811800653759032 0.839191254152536 0.789102749607168 0.876622689425722 0.758006260032493 0.790453535266042 0.835073865344489 0.836063125671984 0.824740059413669 0 0.846586618555967 0.814762762136904 0.881806821641977
"Valdés_A_dialogo_cosas_acaecidas_roma" 0.918959506098843 0.900103518489211 1.08337696992919 0.950583823544704 0.887538199656276 0.914085692490409 0.885049006855174 0.959853255195701 0.821768282190804 0.89058698752812 0.911054093703617 0.901050945883019 0.928029753978756 0.846586618555967 0 0.704314175041963 0.840378152296989
"Valdés_A_dialogo_mercurio_carón" 0.958918939181855 0.939393510182994 1.05363133002022 1.01229330592488 0.952766958390846 0.9815253823298 0.896720739395069 1.02835253083541 0.905986993620322 0.938116484448361 0.959366810309137 0.967427641602113 0.983352262951701 0.814762762136904 0.704314175041963 0 0.896234248487292
"Valdés_J_ dialogo_lengua" 0.944453944935905 0.877844074101606 1.14438432327806 0.924987553488363 0.877927895097874 0.899766307066618 0.871235067530455 0.954668247419316 0.7948071739782 0.872412290768907 0.878868504075635 0.884146853914478 0.89863909866091 0.881806821641977 0.840378152296989 0.896234248487292 0
