"Cervantes_Salazar_cronica_ nueva_españa" "Hurtado_ cartas" "Hurtado_ Guerra_Granada" "Hurtado_canciones" "Hurtado_églogas" "Hurtado_elegías" "Hurtado_epístolas" "Hurtado_fábulas" "Hurtado_octavas" "Hurtado_poesías_satírico_burlescas" "Hurtado_poesías_varias" "Hurtado_sátiras" "Hurtado_sonetos" "lazarillo_tormes" "Valdés_A_dialogo_cosas_acaecidas_roma" "Valdés_A_dialogo_mercurio_carón" "Valdés_J_ dialogo_lengua"
"Cervantes_Salazar_cronica_ nueva_españa" 0 2344.57736995322 2625.52451250914 2449.11218388312 2475.25290854124 2472.1068864073 2127.90161104697 2225.99347843254 2357.40297315269 2300.19447327561 2353.74955535308 2288.0592967674 2419.57209922653 2315.66486449907 2662.48422660408 2618.78739992443 2519.18280308742
"Hurtado_ cartas" 2344.57736995322 0 2935.54705093296 1362.70645453777 1449.84655619319 1481.84599696098 1322.11549816967 1414.93856258563 1451.59442515645 1461.19631107779 1321.17001900279 1583.77715270855 1440.26979218777 2169.97479348847 2642.85817614103 2617.93243444635 2413.92259863989
"Hurtado_ Guerra_Granada" 2625.52451250914 2935.54705093296 0 3028.04875360266 3128.75577776421 3046.28671576461 2700.34433925561 2807.08173144583 2931.14706042186 2957.0594847114 2966.78815776721 2965.31072570111 2994.2301207278 2886.14727681754 3188.05811481716 3109.88714012284 3304.71737393094
"Hurtado_canciones" 2449.11218388312 1362.70645453777 3028.04875360266 0 1312.623163163 1331.55350167265 1459.14665318741 1349.16926977868 1236.15293872306 1477.93885610614 1404.38032922376 1414.12036286781 1335.63256086724 2281.38459198284 2782.25267029969 2803.53493652677 2598.89786452417
"Hurtado_églogas" 2475.25290854124 1449.84655619319 3128.75577776421 1312.623163163 0 1472.62715962096 1538.98791703247 1454.12118750961 1344.36452960213 1476.67808873865 1491.48674028549 1550.03479898927 1475.9190020216 2334.20298618686 2794.68476189681 2809.56695977964 2601.35402642899
"Hurtado_elegías" 2472.1068864073 1481.84599696098 3046.28671576461 1331.55350167265 1472.62715962096 0 1532.12241606454 1283.95486204943 1265.37600728104 1549.64452178146 1525.37705057778 1557.14579494909 1394.48984833407 2360.22740678602 2874.09158374136 2901.61998595511 2700.02863755232
"Hurtado_epístolas" 2127.90161104697 1322.11549816967 2700.34433925561 1459.14665318741 1538.98791703247 1532.12241606454 0 1396.96802345277 1532.62308431269 1444.05100226699 1393.49377789592 1556.0964686734 1461.65022776336 2019.20766237776 2502.44412778206 2442.71690015988 2335.77451826505
"Hurtado_fábulas" 2225.99347843254 1414.93856258563 2807.08173144583 1349.16926977868 1454.12118750961 1283.95486204943 1396.96802345277 0 1260.17172757692 1452.22740539912 1487.08508778606 1467.82981341115 1352.07612313987 2231.47587549732 2678.07674135169 2727.68141902435 2588.17544203283
"Hurtado_octavas" 2357.40297315269 1451.59442515645 2931.14706042186 1236.15293872306 1344.36452960213 1265.37600728104 1532.62308431269 1260.17172757692 0 1450.21637723443 1462.13676180596 1419.0067295257 1327.15807864302 2290.78411677516 2745.81462968018 2808.1670798667 2566.98545895703
"Hurtado_poesías_satírico_burlescas" 2300.19447327561 1461.19631107779 2957.0594847114 1477.93885610614 1476.67808873865 1549.64452178146 1444.05100226699 1452.22740539912 1450.21637723443 0 1467.26225453504 1516.53888737956 1518.59375464203 2188.43481251202 2692.87729055876 2660.24012745342 2474.65753723345
"Hurtado_poesías_varias" 2353.74955535308 1321.17001900279 2966.78815776721 1404.38032922376 1491.48674028549 1525.37705057778 1393.49377789592 1487.08508778606 1462.13676180596 1467.26225453504 0 1608.16215325209 1433.10965201833 2185.39302896379 2660.9980642829 2660.08171692698 2486.5992148557
"Hurtado_sátiras" 2288.0592967674 1583.77715270855 2965.31072570111 1414.12036286781 1550.03479898927 1557.14579494909 1556.0964686734 1467.82981341115 1419.0067295257 1516.53888737956 1608.16215325209 0 1486.63451943956 2312.52168559738 2686.14637923798 2768.96840718057 2536.51749148795
"Hurtado_sonetos" 2419.57209922653 1440.26979218777 2994.2301207278 1335.63256086724 1475.9190020216 1394.48984833407 1461.65022776336 1352.07612313987 1327.15807864302 1518.59375464203 1433.10965201833 1486.63451943956 0 2285.39743498094 2754.95455729081 2773.46685909199 2614.04691063296
"lazarillo_tormes" 2315.66486449907 2169.97479348847 2886.14727681754 2281.38459198284 2334.20298618686 2360.22740678602 2019.20766237776 2231.47587549732 2290.78411677516 2188.43481251202 2185.39302896379 2312.52168559738 2285.39743498094 0 2664.34217698331 2459.76592010096 2574.94954571616
"Valdés_A_dialogo_cosas_acaecidas_roma" 2662.48422660408 2642.85817614103 3188.05811481716 2782.25267029969 2794.68476189681 2874.09158374136 2502.44412778206 2678.07674135169 2745.81462968018 2692.87729055876 2660.9980642829 2686.14637923798 2754.95455729081 2664.34217698331 0 2219.60506942652 2703.84759806592
"Valdés_A_dialogo_mercurio_carón" 2618.78739992443 2617.93243444635 3109.88714012284 2803.53493652677 2809.56695977964 2901.61998595511 2442.71690015988 2727.68141902435 2808.1670798667 2660.24012745342 2660.08171692698 2768.96840718057 2773.46685909199 2459.76592010096 2219.60506942652 0 2738.86963831638
"Valdés_J_ dialogo_lengua" 2519.18280308742 2413.92259863989 3304.71737393094 2598.89786452417 2601.35402642899 2700.02863755232 2335.77451826505 2588.17544203283 2566.98545895703 2474.65753723345 2486.5992148557 2536.51749148795 2614.04691063296 2574.94954571616 2703.84759806592 2738.86963831638 0
