"Cervantes_Salazar_cronica_ nueva_españa" "Hurtado_ cartas" "Hurtado_ Guerra_Granada" "Hurtado_canciones" "Hurtado_églogas" "Hurtado_elegías" "Hurtado_epístolas" "Hurtado_fábulas" "Hurtado_octavas" "Hurtado_poesías_satírico_burlescas" "Hurtado_poesías_varias" "Hurtado_sátiras" "Hurtado_sonetos" "lazarillo_tormes" "Valdés_A_dialogo_cosas_acaecidas_roma" "Valdés_A_dialogo_mercurio_carón" "Valdés_J_ dialogo_lengua"
"Cervantes_Salazar_cronica_ nueva_españa" 0 1296.66579262348 1304.21652202432 1387.19944117974 1338.63093727586 1363.20003535805 1114.42546581124 1252.35180136718 1379.14228802256 1200.00543003608 1294.66912839212 1177.3928708391 1283.25479066655 1118.39411548785 1237.17947628668 1232.68259109398 1226.19724052274
"Hurtado_ cartas" 1296.66579262348 0 1579.76015809607 878.387140612669 879.733537188068 951.836960849315 780.146766376274 971.835817043163 1079.75142343614 898.950383238128 715.663686289175 995.833251983909 858.63036820777 1179.18328986869 1301.84997951208 1291.42551928063 1251.79798098621
"Hurtado_ Guerra_Granada" 1304.21652202432 1579.76015809607 0 1680.47422970001 1663.51448594087 1676.12225702342 1409.907679091 1527.0990769962 1735.63792803049 1543.01118847266 1580.31844469008 1555.80108246005 1601.18246616223 1382.8809715797 1483.2845644137 1428.7308499074 1620.54447472199
"Hurtado_canciones" 1387.19944117974 878.387140612669 1680.47422970001 0 864.692561450241 934.391938696711 884.638690682614 966.162885217358 991.347359227864 977.793564848871 873.051083450922 1009.37206548037 868.060443867895 1270.54100737858 1434.03694840603 1443.82956847589 1368.06612820976
"Hurtado_églogas" 1338.63093727586 879.733537188068 1663.51448594087 864.692561450241 0 921.977616352588 897.326029588632 993.72834530501 1025.03549351631 941.368689486818 890.045056405777 991.001865622026 883.509374109869 1234.44924706587 1365.803999111 1369.23502469756 1328.62811210091
"Hurtado_elegías" 1363.20003535805 951.836960849315 1676.12225702342 934.391938696711 921.977616352588 0 949.372582100531 968.573471147574 1020.43071265016 1005.77096785721 1008.45503471551 1087.28739076889 933.264250056113 1311.00185689761 1464.86319604388 1469.59935893989 1410.32160337609
"Hurtado_epístolas" 1114.42546581124 780.146766376274 1409.907679091 884.638690682614 897.326029588632 949.372582100531 0 886.555639806361 1090.22858224467 822.131624919116 801.015511018351 913.445264976605 815.587739302022 1042.7685451435 1205.16089182301 1147.02508038691 1166.59417769802
"Hurtado_fábulas" 1252.35180136718 971.835817043163 1527.0990769962 966.162885217358 993.72834530501 968.573471147574 886.555639806361 0 1081.51582550402 998.90341276711 1018.98563400657 1044.99232538068 955.52242771123 1227.29784511636 1399.39769579225 1420.44571821724 1381.04893413019
"Hurtado_octavas" 1379.14228802256 1079.75142343614 1735.63792803049 991.347359227864 1025.03549351631 1020.43071265016 1090.22858224467 1081.51582550402 0 1071.35536179863 1083.10779578175 1091.94306451074 989.927658924901 1335.97480890013 1465.48546295241 1521.75683800157 1379.22080859298
"Hurtado_poesías_satírico_burlescas" 1200.00543003608 898.950383238128 1543.01118847266 977.793564848871 941.368689486818 1005.77096785721 822.131624919116 998.90341276711 1071.35536179863 0 891.182665336634 919.360352364857 891.103634055364 1077.55425622365 1257.50104406619 1233.24416489595 1202.24437342614
"Hurtado_poesías_varias" 1294.66912839212 715.663686289175 1580.31844469008 873.051083450922 890.045056405777 1008.45503471551 801.015511018351 1018.98563400657 1083.10779578175 891.182665336634 0 968.620159741462 852.240867691828 1177.93384095417 1301.13259603654 1301.0547352288 1233.79037264785
"Hurtado_sátiras" 1177.3928708391 995.833251983909 1555.80108246005 1009.37206548037 991.001865622026 1087.28739076889 913.445264976605 1044.99232538068 1091.94306451074 919.360352364857 968.620159741462 0 938.494887425359 1194.60815766805 1304.53603242378 1312.91787680554 1246.69126401398
"Hurtado_sonetos" 1283.25479066655 858.63036820777 1601.18246616223 868.060443867895 883.509374109869 933.264250056113 815.587739302022 955.52242771123 989.927658924901 891.103634055364 852.240867691828 938.494887425359 0 1183.47829144262 1378.75695065939 1366.23840308684 1302.06860379758
"lazarillo_tormes" 1118.39411548785 1179.18328986869 1382.8809715797 1270.54100737858 1234.44924706587 1311.00185689761 1042.7685451435 1227.29784511636 1335.97480890013 1077.55425622365 1177.93384095417 1194.60815766805 1183.47829144262 0 1158.18734978954 1050.97705988421 1218.22236864718
"Valdés_A_dialogo_cosas_acaecidas_roma" 1237.17947628668 1301.84997951208 1483.2845644137 1434.03694840603 1365.803999111 1464.86319604388 1205.16089182301 1399.39769579225 1465.48546295241 1257.50104406619 1301.13259603654 1304.53603242378 1378.75695065939 1158.18734978954 0 886.178928224422 1202.16079658748
"Valdés_A_dialogo_mercurio_carón" 1232.68259109398 1291.42551928063 1428.7308499074 1443.82956847589 1369.23502469756 1469.59935893989 1147.02508038691 1420.44571821724 1521.75683800157 1233.24416489595 1301.0547352288 1312.91787680554 1366.23840308684 1050.97705988421 886.178928224422 0 1229.65735186515
"Valdés_J_ dialogo_lengua" 1226.19724052274 1251.79798098621 1620.54447472199 1368.06612820976 1328.62811210091 1410.32160337609 1166.59417769802 1381.04893413019 1379.22080859298 1202.24437342614 1233.79037264785 1246.69126401398 1302.06860379758 1218.22236864718 1202.16079658748 1229.65735186515 0
