"Cervantes_Salazar_cronica_ nueva_españa" "Hurtado_ cartas" "Hurtado_ Guerra_Granada" "Hurtado_canciones" "Hurtado_églogas" "Hurtado_elegías" "Hurtado_epístolas" "Hurtado_fábulas" "Hurtado_octavas" "Hurtado_poesías_satírico_burlescas" "Hurtado_poesías_varias" "Hurtado_sátiras" "Hurtado_sonetos" "lazarillo_tormes" "Valdés_A_dialogo_cosas_acaecidas_roma" "Valdés_A_dialogo_mercurio_carón" "Valdés_J_ dialogo_lengua"
"Cervantes_Salazar_cronica_ nueva_españa" 0 1764.41680774479 1827.28638122288 1850.78414776222 1800.23886577465 1813.271415065 1554.18090835972 1718.96885909722 1780.74134654904 1635.09005411227 1772.95335308396 1613.50642813414 1737.34002148871 1554.68574253868 1677.93771223773 1699.87084837325 1678.43580746161
"Hurtado_ cartas" 1764.41680774479 0 2151.78287623785 1203.4060087181 1208.72693153231 1289.89990228821 1109.30225648914 1346.29349182754 1406.88512091314 1244.91657727244 1018.11912179652 1373.10156461405 1202.44555760802 1595.76901766522 1750.42184669844 1768.87276553483 1679.16430499686
"Hurtado_ Guerra_Granada" 1827.28638122288 2151.78287623785 0 2274.00025569205 2253.59449970187 2258.36120083846 1939.62740771829 2123.26115182133 2271.46524762862 2115.10956096484 2166.3024696357 2130.67023792368 2186.36301540749 1912.87756028793 2016.19952746319 1955.0790627397 2175.8378916957
"Hurtado_canciones" 1850.78414776222 1203.4060087181 2274.00025569205 0 1156.27212196484 1239.18041419523 1241.09291439344 1313.8709477093 1275.14773572855 1324.94841310396 1209.93860845266 1365.95154029642 1181.49984776516 1703.78306988757 1895.0197468511 1956.48476406807 1812.06372862477
"Hurtado_églogas" 1800.23886577465 1208.72693153231 2253.59449970187 1156.27212196484 0 1225.44106963432 1254.90134313088 1344.05656431012 1308.13303525772 1278.37938764964 1232.15959231369 1337.80388577056 1195.63477147033 1650.99071540922 1812.06596360843 1864.41361487772 1760.90978033696
"Hurtado_elegías" 1813.271415065 1289.89990228821 2258.36120083846 1239.18041419523 1225.44106963432 0 1310.95345852281 1309.48547182373 1275.13236911666 1341.11315714987 1369.44569365799 1432.97775430756 1249.00081260495 1736.07082492598 1913.31483079049 1971.79054809078 1846.02850570814
"Hurtado_epístolas" 1554.18090835972 1109.30225648914 1939.62740771829 1241.09291439344 1254.90134313088 1310.95345852281 0 1253.45627493022 1440.59133011854 1166.7786901089 1141.77289364262 1289.11142231739 1162.35464559417 1444.02435443877 1637.7504571127 1594.86081500573 1588.00345803352
"Hurtado_fábulas" 1718.96885909722 1346.29349182754 2123.26115182133 1313.8709477093 1344.05656431012 1309.48547182373 1253.45627493022 0 1408.90202563642 1367.94184138411 1410.96795517585 1433.08563577958 1325.96681715978 1684.40183287205 1881.95372959385 1954.83268945609 1857.66314455884
"Hurtado_octavas" 1780.74134654904 1406.88512091314 2271.46524762862 1275.14773572855 1308.13303525772 1275.13236911666 1440.59133011854 1408.90202563642 0 1371.98393234291 1420.80153383745 1397.38348959378 1284.58110402942 1711.42812784399 1857.48211939019 1972.33022771653 1752.38473939659
"Hurtado_poesías_satírico_burlescas" 1635.09005411227 1244.91657727244 2115.10956096484 1324.94841310396 1278.37938764964 1341.11315714987 1166.7786901089 1367.94184138411 1371.98393234291 0 1247.59464906607 1256.60287409162 1224.91939915225 1471.78762632473 1696.02382624957 1711.99074774526 1623.45250954231
"Hurtado_poesías_varias" 1772.95335308396 1018.11912179652 2166.3024696357 1209.93860845266 1232.15959231369 1369.44569365799 1141.77289364262 1410.96795517585 1420.80153383745 1247.59464906607 0 1334.4340992796 1191.82735151704 1608.90921096526 1763.23806527513 1797.75517064248 1668.13062602023
"Hurtado_sátiras" 1613.50642813414 1373.10156461405 2130.67023792368 1365.95154029642 1337.80388577056 1432.97775430756 1289.11142231739 1433.08563577958 1397.38348959378 1256.60287409162 1334.4340992796 0 1276.29043814004 1614.53439367529 1749.80388299295 1803.8107410445 1679.66061034853
"Hurtado_sonetos" 1737.34002148871 1202.44555760802 2186.36301540749 1181.49984776516 1195.63477147033 1249.00081260495 1162.35464559417 1325.96681715978 1284.58110402942 1224.91939915225 1191.82735151704 1276.29043814004 0 1603.39918296743 1838.36422345996 1869.99267791276 1737.3780610172
"lazarillo_tormes" 1554.68574253868 1595.76901766522 1912.87756028793 1703.78306988757 1650.99071540922 1736.07082492598 1444.02435443877 1684.40183287205 1711.42812784399 1471.78762632473 1608.90921096526 1614.53439367529 1603.39918296743 0 1569.03296939275 1461.13069840221 1640.63135744202
"Valdés_A_dialogo_cosas_acaecidas_roma" 1677.93771223773 1750.42184669844 2016.19952746319 1895.0197468511 1812.06596360843 1913.31483079049 1637.7504571127 1881.95372959385 1857.48211939019 1696.02382624957 1763.23806527513 1749.80388299295 1838.36422345996 1569.03296939275 0 1234.51618100022 1599.68009924783
"Valdés_A_dialogo_mercurio_carón" 1699.87084837325 1768.87276553483 1955.0790627397 1956.48476406807 1864.41361487772 1971.79054809078 1594.86081500573 1954.83268945609 1972.33022771653 1711.99074774526 1797.75517064248 1803.8107410445 1869.99267791276 1461.13069840221 1234.51618100022 0 1665.73182152684
"Valdés_J_ dialogo_lengua" 1678.43580746161 1679.16430499686 2175.8378916957 1812.06372862477 1760.90978033696 1846.02850570814 1588.00345803352 1857.66314455884 1752.38473939659 1623.45250954231 1668.13062602023 1679.66061034853 1737.3780610172 1640.63135744202 1599.68009924783 1665.73182152684 0
