"Cervantes_Salazar_cronica_ nueva_españa" "Hurtado_ cartas" "Hurtado_ Guerra_Granada" "Hurtado_canciones" "Hurtado_églogas" "Hurtado_elegías" "Hurtado_epístolas" "Hurtado_fábulas" "Hurtado_octavas" "Hurtado_poesías_satírico_burlescas" "Hurtado_poesías_varias" "Hurtado_sátiras" "Hurtado_sonetos" "lazarillo_tormes" "Valdés_A_dialogo_cosas_acaecidas_roma" "Valdés_A_dialogo_mercurio_carón" "Valdés_J_ dialogo_lengua"
"Cervantes_Salazar_cronica_ nueva_españa" 0 2214.93359850935 2366.1041530854 2304.31303642817 2237.6873730046 2243.23687931006 1998.08701687236 2172.26462141762 2154.05894076717 2064.99545524522 2237.22972844593 2045.77341504141 2180.33999190493 1991.45132505427 2129.81689404724 2182.95033709063 2147.69291722455
"Hurtado_ cartas" 2214.93359850935 0 2695.87285345678 1508.34869944962 1499.96566606729 1590.34334604587 1431.67369130114 1691.10784877492 1679.67570649531 1566.38279032645 1295.28070699881 1717.02408769786 1517.33871884143 1980.09908821423 2174.56062716823 2226.30660812751 2094.45764729111
"Hurtado_ Guerra_Granada" 2366.1041530854 2695.87285345678 0 2846.35642638197 2805.67941021379 2802.71966221673 2465.16313417362 2694.16032300636 2761.32416756513 2670.41225741024 2728.69315927149 2688.62461280697 2750.17675890826 2430.70068899164 2545.64037489818 2472.85110258541 2723.82702821787
"Hurtado_canciones" 2304.31303642817 1508.34869944962 2846.35642638197 0 1423.0254333483 1518.357902786 1595.0261666329 1638.37681387876 1523.22770254592 1648.32978483543 1529.57069356222 1698.8285550175 1477.83712811346 2110.17839648002 2336.56767063473 2442.32626459301 2245.52474905999
"Hurtado_églogas" 2237.6873730046 1499.96566606729 2805.67941021379 1423.0254333483 0 1483.23999468789 1592.64334522356 1658.83570122775 1535.15081598412 1580.30767797779 1538.21826409965 1645.03879799663 1476.15125197503 2027.41941508334 2221.79706525499 2322.24292924066 2169.04308338035
"Hurtado_elegías" 2243.23687931006 1590.34334604587 2802.71966221673 1518.357902786 1483.23999468789 0 1655.77299317297 1622.51287534729 1483.75697881175 1644.52708227839 1690.64210671659 1742.64766279926 1536.85999121237 2118.89717145911 2324.72647411846 2432.82651677376 2254.87015053663
"Hurtado_epístolas" 1998.08701687236 1431.67369130114 2465.16313417362 1595.0261666329 1592.64334522356 1655.77299317297 0 1614.78528524538 1758.13484675354 1510.67281301214 1472.96665279776 1657.23084444504 1503.70030130499 1832.62903160825 2067.11887448679 2042.28383875708 2011.27445402427
"Hurtado_fábulas" 2172.26462141762 1691.10784877492 2694.16032300636 1638.37681387876 1658.83570122775 1622.51287534729 1614.78528524538 0 1686.92367799357 1708.45189922737 1770.97508648602 1790.86387341032 1666.46619159141 2107.65825376069 2337.90462583547 2458.20672626445 2312.50730128146
"Hurtado_octavas" 2154.05894076717 1679.67570649531 2761.32416756513 1523.22770254592 1535.15081598412 1483.75697881175 1758.13484675354 1686.92367799357 0 1631.30013421927 1705.8545149063 1658.1887457299 1537.02214317707 2036.49042886311 2207.50146550592 2375.28140284085 2095.84671951048
"Hurtado_poesías_satírico_burlescas" 2064.99545524522 1566.38279032645 2670.41225741024 1648.32978483543 1580.30767797779 1644.52708227839 1510.67281301214 1708.45189922737 1631.30013421927 0 1578.61729474869 1574.71385998548 1538.75777300646 1850.20609035517 2117.36966331127 2174.26161611305 2039.34163443832
"Hurtado_poesías_varias" 2237.22972844593 1295.28070699881 2728.69315927149 1529.57069356222 1538.21826409965 1690.64210671659 1472.96665279776 1770.97508648602 1705.8545149063 1578.61729474869 0 1666.71172036654 1510.53029165284 2010.42114886726 2201.68373989581 2271.5320697472 2088.96479912091
"Hurtado_sátiras" 2045.77341504141 1717.02408769786 2688.62461280697 1698.8285550175 1645.03879799663 1742.64766279926 1657.23084444504 1790.86387341032 1658.1887457299 1574.71385998548 1666.71172036654 0 1591.04028728568 2011.80861112093 2176.19648330495 2275.99170466433 2101.58292451121
"Hurtado_sonetos" 2180.33999190493 1517.33871884143 2750.17675890826 1477.83712811346 1476.15125197503 1536.85999121237 1503.70030130499 1666.46619159141 1537.02214317707 1538.75777300646 1510.53029165284 1591.04028728568 0 1997.50518034992 2274.49520431255 2348.28933471311 2162.41227358827
"lazarillo_tormes" 1991.45132505427 1980.09908821423 2430.70068899164 2110.17839648002 2027.41941508334 2118.89717145911 1832.62903160825 2107.65825376069 2036.49042886311 1850.20609035517 2010.42114886726 2011.80861112093 1997.50518034992 0 1977.81809106142 1867.74527652932 2063.35387169834
"Valdés_A_dialogo_cosas_acaecidas_roma" 2129.81689404724 2174.56062716823 2545.64037489818 2336.56767063473 2221.79706525499 2324.72647411846 2067.11887448679 2337.90462583547 2207.50146550592 2117.36966331127 2201.68373989581 2176.19648330495 2274.49520431255 1977.81809106142 0 1587.86733137929 1998.16224628244
"Valdés_A_dialogo_mercurio_carón" 2182.95033709063 2226.30660812751 2472.85110258541 2442.32626459301 2322.24292924066 2432.82651677376 2042.28383875708 2458.20672626445 2375.28140284085 2174.26161611305 2271.5320697472 2275.99170466433 2348.28933471311 1867.74527652932 1587.86733137929 0 2100.04057822243
"Valdés_J_ dialogo_lengua" 2147.69291722455 2094.45764729111 2723.82702821787 2245.52474905999 2169.04308338035 2254.87015053663 2011.27445402427 2312.50730128146 2095.84671951048 2039.34163443832 2088.96479912091 2101.58292451121 2162.41227358827 2063.35387169834 1998.16224628244 2100.04057822243 0
