"Cervantes_Salazar_cronica_ nueva_españa" "Hurtado_ cartas" "Hurtado_ Guerra_Granada" "Hurtado_canciones" "Hurtado_églogas" "Hurtado_elegías" "Hurtado_epístolas" "Hurtado_fábulas" "Hurtado_octavas" "Hurtado_poesías_satírico_burlescas" "Hurtado_poesías_varias" "Hurtado_sátiras" "Hurtado_sonetos" "lazarillo_tormes" "Valdés_A_dialogo_cosas_acaecidas_roma" "Valdés_A_dialogo_mercurio_carón" "Valdés_J_ dialogo_lengua"
"Cervantes_Salazar_cronica_ nueva_españa" 0 1530.35990150057 1563.34523036814 1621.24155616333 1569.18745401499 1590.03366933159 1330.11642888059 1486.89430649098 1580.70932155167 1417.34073083149 1532.13938245821 1393.41038227845 1511.06112450224 1333.59856965046 1457.30571285706 1462.8274633985 1449.43774130619
"Hurtado_ cartas" 1530.35990150057 0 1870.05846339812 1044.96976557642 1045.8952663806 1125.47354302791 945.654600969989 1161.35551929283 1248.21394333943 1073.96695065357 867.169845711538 1186.02660826542 1033.49685863799 1390.72138090809 1531.60775648463 1532.1460397567 1467.69256782532
"Hurtado_ Guerra_Granada" 1563.34523036814 1870.05846339812 0 1983.05985025503 1962.89342573243 1974.35194185967 1675.74388332202 1830.05538216115 2009.95964924785 1831.80318603743 1876.20708318913 1844.54193945357 1898.58796186356 1648.91471377498 1753.09166967739 1693.69336413894 1900.68421581244
"Hurtado_canciones" 1621.24155616333 1044.96976557642 1983.05985025503 0 1014.95604713352 1092.55314718235 1065.21185583559 1144.82433507427 1139.79399075787 1156.02448415336 1043.13531084627 1191.40293135395 1029.21147785063 1491.92498433781 1673.08594448376 1706.2087760778 1594.49365808601
"Hurtado_églogas" 1569.18745401499 1045.8952663806 1962.89342573243 1014.95604713352 0 1079.66442741482 1077.28355900349 1172.56865235805 1171.67613318626 1113.30766344191 1062.09537692774 1166.50594461168 1042.48268815708 1445.76103666046 1595.73314745746 1620.45430127067 1547.31747857295
"Hurtado_elegías" 1590.03366933159 1125.47354302791 1974.35194185967 1092.55314718235 1079.66442741482 0 1133.06162302375 1143.66983882492 1154.04666111698 1177.8232383201 1192.48333721042 1263.95741169244 1096.76607368403 1529.6448307287 1698.92912817655 1727.21699867905 1633.67524475113
"Hurtado_epístolas" 1330.11642888059 945.654600969989 1675.74388332202 1065.21185583559 1077.28355900349 1133.06162302375 0 1070.66287765889 1269.14549238694 995.921786084541 972.33068795257 1101.67760564069 991.015682748696 1242.96295994318 1425.03009681386 1369.99074300548 1377.40352105971
"Hurtado_fábulas" 1486.89430649098 1161.35551929283 1830.05538216115 1144.82433507427 1172.56865235805 1143.66983882492 1070.66287765889 0 1251.10249641831 1187.59934806388 1217.01750667045 1241.96606975087 1145.99136255465 1459.33138848891 1647.80899281321 1691.89542605303 1623.27524479642
"Hurtado_octavas" 1580.70932155167 1248.21394333943 2009.95964924785 1139.79399075787 1171.67613318626 1154.04666111698 1269.14549238694 1251.10249641831 0 1226.23001083363 1255.70466824415 1248.08283824585 1143.16521309622 1529.11243874949 1669.95908919449 1752.54531774901 1569.78239980469
"Hurtado_poesías_satírico_burlescas" 1417.34073083149 1073.96695065357 1831.80318603743 1156.02448415336 1113.30766344191 1177.8232383201 995.921786084541 1187.59934806388 1226.23001083363 0 1069.78497679438 1089.43637621915 1061.57984333338 1275.68418210526 1481.52626100739 1473.8731496206 1414.62655741802
"Hurtado_poesías_varias" 1532.13938245821 867.169845711538 1876.20708318913 1043.13531084627 1062.09537692774 1192.48333721042 972.33068795257 1217.01750667045 1255.70466824415 1069.78497679438 0 1153.32608380529 1024.34861340268 1394.75484704545 1535.98600457066 1550.86711412219 1452.35729819635
"Hurtado_sátiras" 1393.41038227845 1186.02660826542 1844.54193945357 1191.40293135395 1166.50594461168 1263.95741169244 1101.67760564069 1241.96606975087 1248.08283824585 1089.43637621915 1153.32608380529 0 1109.71436099043 1405.15549284606 1531.5890324944 1559.21827124842 1463.32156634614
"Hurtado_sonetos" 1511.06112450224 1033.49685863799 1898.58796186356 1029.21147785063 1042.48268815708 1096.76607368403 991.015682748696 1145.99136255465 1143.16521309622 1061.57984333338 1024.34861340268 1109.71436099043 0 1396.7595300063 1616.00784877294 1622.1117545971 1522.82835906539
"lazarillo_tormes" 1333.59856965046 1390.72138090809 1648.91471377498 1491.92498433781 1445.76103666046 1529.6448307287 1242.96295994318 1459.33138848891 1529.11243874949 1275.68418210526 1394.75484704545 1405.15549284606 1396.7595300063 0 1366.15147651284 1255.50393505551 1430.2747455603
"Valdés_A_dialogo_cosas_acaecidas_roma" 1457.30571285706 1531.60775648463 1753.09166967739 1673.08594448376 1595.73314745746 1698.92912817655 1425.03009681386 1647.80899281321 1669.95908919449 1481.52626100739 1535.98600457066 1531.5890324944 1616.00784877294 1366.15147651284 0 1061.68209400779 1404.61311959834
"Valdés_A_dialogo_mercurio_carón" 1462.8274633985 1532.1460397567 1693.69336413894 1706.2087760778 1620.45430127067 1727.21699867905 1369.99074300548 1691.89542605303 1752.54531774901 1473.8731496206 1550.86711412219 1559.21827124842 1622.1117545971 1255.50393505551 1061.68209400779 0 1448.67078904011
"Valdés_J_ dialogo_lengua" 1449.43774130619 1467.69256782532 1900.68421581244 1594.49365808601 1547.31747857295 1633.67524475113 1377.40352105971 1623.27524479642 1569.78239980469 1414.62655741802 1452.35729819635 1463.32156634614 1522.82835906539 1430.2747455603 1404.61311959834 1448.67078904011 0
