"Cervantes_Salazar_cronica_ nueva_españa" "Hurtado_ cartas" "Hurtado_ Guerra_Granada" "Hurtado_canciones" "Hurtado_églogas" "Hurtado_elegías" "Hurtado_epístolas" "Hurtado_fábulas" "Hurtado_octavas" "Hurtado_poesías_satírico_burlescas" "Hurtado_poesías_varias" "Hurtado_sátiras" "Hurtado_sonetos" "lazarillo_tormes" "Valdés_A_dialogo_cosas_acaecidas_roma" "Valdés_A_dialogo_mercurio_carón" "Valdés_J_ dialogo_lengua"
"Cervantes_Salazar_cronica_ nueva_españa" 0 1906.855135083 2087.67505693523 2022.21821550652 2032.28715018819 2039.58481904787 1717.71607190113 1813.06888259464 1976.32839851719 1865.17553230314 1914.39681319211 1862.00232316315 1981.89558892159 1852.30351443251 2147.20427456942 2095.88745889922 2008.22568036925
"Hurtado_ cartas" 1906.855135083 0 2371.03178347791 1129.21550700528 1190.90365665977 1233.17643850059 1067.22089492487 1166.56114093809 1230.05529843692 1191.39247107635 1072.06484018942 1311.07470271857 1184.78369951381 1758.72588034937 2156.87268555568 2103.01760177127 1935.34666617182
"Hurtado_ Guerra_Granada" 2087.67505693523 2371.03178347791 0 2470.5277985303 2551.81521826084 2489.52497947612 2168.67065106455 2260.85249653236 2421.99150192091 2389.13576295564 2401.42053017489 2404.58479662731 2432.38284081878 2316.55784897211 2564.39245448816 2491.2271731023 2650.02336991148
"Hurtado_canciones" 2022.21821550652 1129.21550700528 2470.5277985303 0 1102.26999423548 1129.43191473746 1196.23038470612 1135.73308011463 1068.34285697427 1235.97110529538 1161.13345676297 1186.67453426592 1117.99999363703 1875.68855518397 2304.06685707166 2286.27226691916 2120.61724989648
"Hurtado_églogas" 2032.28715018819 1190.90365665977 2551.81521826084 1102.26999423548 0 1245.59908993738 1259.42032324487 1222.1168886258 1155.57574924394 1221.25669309458 1227.3862561919 1298.86315984048 1243.78028856407 1913.81473621437 2300.70539080863 2278.6774454398 2114.17089017151
"Hurtado_elegías" 2039.58481904787 1233.17643850059 2489.52497947612 1129.43191473746 1245.59908993738 0 1260.18177077406 1070.99246904056 1102.37358623004 1299.92465541878 1266.9124262588 1319.58018501642 1174.7650644875 1948.45101721367 2391.33329061442 2378.24478081505 2215.08531004926
"Hurtado_epístolas" 1717.71607190113 1067.22089492487 2168.67065106455 1196.23038470612 1259.42032324487 1260.18177077406 0 1134.03080623883 1294.47168151952 1172.73749760783 1124.95160463836 1277.75398786886 1192.15018510737 1631.70137061632 2034.82237729078 1958.68445762572 1872.14249532104
"Hurtado_fábulas" 1813.06888259464 1166.56114093809 2260.85249653236 1135.73308011463 1222.1168886258 1070.99246904056 1134.03080623883 0 1087.36907340757 1211.04374896679 1232.001588341 1228.86883845004 1125.08419555236 1826.37496096501 2203.01692486585 2212.97030765494 2106.41262837085
"Hurtado_octavas" 1976.32839851719 1230.05529843692 2421.99150192091 1068.34285697427 1155.57574924394 1102.37358623004 1294.47168151952 1087.36907340757 0 1244.8393302409 1242.01592844825 1229.96997817209 1140.6976508485 1925.67296432339 2311.72191839842 2331.7694710988 2132.39160942028
"Hurtado_poesías_satírico_burlescas" 1865.17553230314 1191.39247107635 2389.13576295564 1235.97110529538 1221.25669309458 1299.92465541878 1172.73749760783 1211.04374896679 1244.8393302409 0 1196.05186421479 1265.40131316575 1265.45489566854 1778.89174090487 2203.75151782796 2141.13398909439 1990.60635115701
"Hurtado_poesías_varias" 1914.39681319211 1072.06484018942 2401.42053017489 1161.13345676297 1227.3862561919 1266.9124262588 1124.95160463836 1232.001588341 1242.01592844825 1196.05186421479 0 1334.06349343094 1183.97956523124 1773.56450639124 2177.8948634359 2140.15693620014 2002.36741263764
"Hurtado_sátiras" 1862.00232316315 1311.07470271857 2404.58479662731 1186.67453426592 1298.86315984048 1319.58018501642 1277.75398786886 1228.86883845004 1229.96997817209 1265.40131316575 1334.06349343094 0 1243.62176918782 1897.78674587905 2205.61541890591 2245.76003445936 2060.70068235236
"Hurtado_sonetos" 1981.89558892159 1184.78369951381 2432.38284081878 1117.99999363703 1243.78028856407 1174.7650644875 1192.15018510737 1125.08419555236 1140.6976508485 1265.45489566854 1183.97956523124 1243.62176918782 0 1873.64350901725 2271.35086010627 2246.79014055158 2126.28741881126
"lazarillo_tormes" 1852.30351443251 1758.72588034937 2316.55784897211 1875.68855518397 1913.81473621437 1948.45101721367 1631.70137061632 1826.37496096501 1925.67296432339 1778.89174090487 1773.56450639124 1897.78674587905 1873.64350901725 0 2152.53378252952 1955.56035853365 2053.83088752797
"Valdés_A_dialogo_cosas_acaecidas_roma" 2147.20427456942 2156.87268555568 2564.39245448816 2304.06685707166 2300.70539080863 2391.33329061442 2034.82237729078 2203.01692486585 2311.72191839842 2203.75151782796 2177.8948634359 2205.61541890591 2271.35086010627 2152.53378252952 0 1753.47546309071 2167.91779047735
"Valdés_A_dialogo_mercurio_carón" 2095.88745889922 2103.01760177127 2491.2271731023 2286.27226691916 2278.6774454398 2378.24478081505 1958.68445762572 2212.97030765494 2331.7694710988 2141.13398909439 2140.15693620014 2245.76003445936 2246.79014055158 1955.56035853365 1753.47546309071 0 2176.31688524542
"Valdés_J_ dialogo_lengua" 2008.22568036925 1935.34666617182 2650.02336991148 2120.61724989648 2114.17089017151 2215.08531004926 1872.14249532104 2106.41262837085 2132.39160942028 1990.60635115701 2002.36741263764 2060.70068235236 2126.28741881126 2053.83088752797 2167.91779047735 2176.31688524542 0
