"Cervantes_Salazar_cronica_ nueva_españa" "Hurtado_ cartas" "Hurtado_ Guerra_Granada" "Hurtado_canciones" "Hurtado_églogas" "Hurtado_elegías" "Hurtado_epístolas" "Hurtado_fábulas" "Hurtado_octavas" "Hurtado_poesías_satírico_burlescas" "Hurtado_poesías_varias" "Hurtado_sátiras" "Hurtado_sonetos" "lazarillo_tormes" "Valdés_A_dialogo_cosas_acaecidas_roma" "Valdés_A_dialogo_mercurio_carón" "Valdés_J_ dialogo_lengua"
"Cervantes_Salazar_cronica_ nueva_españa" 0 1238.41869081372 1288.94412939758 1343.69883062897 1348.55539489086 1350.84302486879 1097.53149179167 1174.11619602274 1363.45391132069 1200.71454022441 1245.95115993695 1208.80445875268 1295.89359748063 1164.06469391823 1343.97258606984 1297.6742494677 1257.61558495208
"Hurtado_ cartas" 1238.41869081372 0 1506.62413502131 755.176209117862 782.859460932082 831.54439094297 682.795436374017 780.300211370591 861.365087333377 771.677988877738 695.269604087265 876.331137061231 776.956179835433 1136.16129647945 1370.71555843333 1310.23923262973 1233.30248373757
"Hurtado_ Guerra_Granada" 1288.94412939758 1506.62413502131 0 1591.69584894531 1656.17637371278 1604.07344220636 1357.62622237639 1421.05174503266 1608.32687484497 1515.47809089703 1532.52604993029 1531.09644184995 1555.38857727499 1464.49224363088 1593.66321301292 1551.19520981291 1675.25228378945
"Hurtado_canciones" 1343.69883062897 755.176209117862 1591.69584894531 0 752.765349000236 787.299038286513 784.678635856117 789.74966598106 771.206686861935 842.469286567703 782.318832875624 818.126725099736 757.245643185599 1234.47516615648 1512.81676793668 1465.44582312472 1395.43045458367
"Hurtado_églogas" 1348.55539489086 782.859460932082 1656.17637371278 752.765349000236 0 871.082112659868 818.524153061718 850.674622382017 836.080674356172 815.587595530802 821.074449266012 900.567158036221 864.798238883742 1262.38723688118 1494.41699714021 1449.3799756899 1388.34059267364
"Hurtado_elegías" 1350.84302486879 831.54439094297 1604.07344220636 787.299038286513 871.082112659868 0 822.051512475863 725.626413255696 805.148615845128 887.37847585675 858.858906172356 920.358802521418 806.77906687765 1286.51567815598 1580.65495421375 1537.94658509604 1466.92899198457
"Hurtado_epístolas" 1097.53149179167 682.795436374017 1357.62622237639 784.678635856117 818.524153061718 822.051512475863 0 731.682104518394 897.905688801214 749.0779374179 722.044716082576 842.571221709956 774.174274691123 1040.47767982051 1285.94101377977 1215.2769448289 1192.53172387431
"Hurtado_fábulas" 1174.11619602274 780.300211370591 1421.05174503266 789.74966598106 850.674622382017 725.626413255696 731.682104518394 0 795.583824708742 826.774125662348 841.204883931283 844.293125091322 765.808722053165 1197.12671479959 1434.67023880124 1409.24180978856 1383.51958234952
"Hurtado_octavas" 1363.45391132069 861.365087333377 1608.32687484497 771.206686861935 836.080674356172 805.148615845128 897.905688801214 795.583824708742 0 896.860267265279 883.080070257735 899.716099326903 817.883809759358 1327.67532960814 1575.90347919375 1558.10312860153 1460.05541178915
"Hurtado_poesías_satírico_burlescas" 1200.71454022441 771.677988877738 1515.47809089703 842.469286567703 815.587595530802 887.37847585675 749.0779374179 826.774125662348 896.860267265279 0 779.946608252218 865.494638626243 852.665268693282 1151.04641401352 1411.62991144222 1332.52200685201 1277.99657834946
"Hurtado_poesías_varias" 1245.95115993695 695.269604087265 1532.52604993029 782.318832875624 821.074449266012 858.858906172356 722.044716082576 841.204883931283 883.080070257735 779.946608252218 0 902.15007920961 791.414449485337 1144.74756889242 1405.33796171284 1346.04678237187 1292.65052149471
"Hurtado_sátiras" 1208.80445875268 876.331137061231 1531.09644184995 818.126725099736 900.567158036221 920.358802521418 842.571221709956 844.293125091322 899.716099326903 865.494638626243 902.15007920961 0 848.488365353022 1245.81996818714 1421.31286659694 1423.297804008 1338.77708804705
"Hurtado_sonetos" 1295.89359748063 776.956179835433 1555.38857727499 757.245643185599 864.798238883742 806.77906687765 774.174274691123 765.808722053165 817.883809759358 852.665268693282 791.414449485337 848.488365353022 0 1219.14169126306 1477.03871521906 1422.18634841495 1386.35572187026
"lazarillo_tormes" 1164.06469391823 1136.16129647945 1464.49224363088 1234.47516615648 1262.38723688118 1286.51567815598 1040.47767982051 1197.12671479959 1327.67532960814 1151.04641401352 1144.74756889242 1245.81996818714 1219.14169126306 0 1348.20661919338 1191.9568740138 1281.93469445892
"Valdés_A_dialogo_cosas_acaecidas_roma" 1343.97258606984 1370.71555843333 1593.66321301292 1512.81676793668 1494.41699714021 1580.65495421375 1285.94101377977 1434.67023880124 1575.90347919375 1411.62991144222 1405.33796171284 1421.31286659694 1477.03871521906 1348.20661919338 0 1045.26137113289 1348.2524965768
"Valdés_A_dialogo_mercurio_carón" 1297.6742494677 1310.23923262973 1551.19520981291 1465.44582312472 1449.3799756899 1537.94658509604 1215.2769448289 1409.24180978856 1558.10312860153 1332.52200685201 1346.04678237187 1423.297804008 1422.18634841495 1191.9568740138 1045.26137113289 0 1344.01121420449
"Valdés_J_ dialogo_lengua" 1257.61558495208 1233.30248373757 1675.25228378945 1395.43045458367 1388.34059267364 1466.92899198457 1192.53172387431 1383.51958234952 1460.05541178915 1277.99657834946 1292.65052149471 1338.77708804705 1386.35572187026 1281.93469445892 1348.2524965768 1344.01121420449 0
