"Cervantes_Salazar_cronica_ nueva_españa" "Hurtado_ cartas" "Hurtado_ Guerra_Granada" "Hurtado_canciones" "Hurtado_églogas" "Hurtado_elegías" "Hurtado_epístolas" "Hurtado_fábulas" "Hurtado_octavas" "Hurtado_poesías_satírico_burlescas" "Hurtado_poesías_varias" "Hurtado_sátiras" "Hurtado_sonetos" "lazarillo_tormes" "Valdés_A_dialogo_cosas_acaecidas_roma" "Valdés_A_dialogo_mercurio_carón" "Valdés_J_ dialogo_lengua"
"Cervantes_Salazar_cronica_ nueva_españa" 0 1685.18780522676 1820.17860552295 1803.2551833728 1806.40187014422 1815.4572416811 1512.38656989167 1603.94976353373 1779.46138114951 1645.43570390838 1693.91243717836 1647.15601361843 1758.29967616351 1624.40673708432 1884.93760603655 1833.33091416648 1753.74057593069
"Hurtado_ cartas" 1685.18780522676 0 2081.47298606435 1008.84250463956 1056.16842241376 1102.94042281565 939.049272845216 1040.51654924372 1113.39091997934 1053.65420349866 948.351960440739 1171.57196921563 1053.81661498681 1552.83207846021 1902.42844989929 1841.45016107699 1696.84448156626
"Hurtado_ Guerra_Granada" 1820.17860552295 2081.47298606435 0 2181.72291251511 2253.08816654259 2198.27495824678 1897.72285850739 1982.57456586849 2155.74110162426 2097.83579993509 2111.86878426877 2115.22550787842 2141.5437822251 2032.85509917323 2244.0007891405 2178.76793644549 2318.17743233527
"Hurtado_canciones" 1803.2551833728 1008.84250463956 2181.72291251511 0 989.001465477781 1021.96559302842 1062.545522863 1027.25111738966 978.13686016688 1110.96103056864 1039.21598741795 1069.89363414266 1004.37585964346 1668.22717579121 2052.16784802031 2020.2834625319 1877.6035636755
"Hurtado_églogas" 1806.40187014422 1056.16842241376 2253.08816654259 989.001465477781 0 1123.17701875904 1115.42273090358 1101.8563515049 1054.06835997959 1087.85110690856 1094.46001469714 1168.76036841773 1121.84198579832 1700.26526924971 2040.64122863639 2006.06193421376 1867.30266015137
"Hurtado_elegías" 1815.4572416811 1102.94042281565 2198.27495824678 1021.96559302842 1123.17701875904 0 1117.91219822918 960.463119443278 1011.72709138145 1167.48881477598 1134.14714167678 1193.4956894442 1057.93843286786 1735.66739576231 2133.88606824537 2106.15326934227 1964.56766972378
"Hurtado_epístolas" 1512.38656989167 939.049272845216 1897.72285850739 1062.545522863 1115.42273090358 1117.91219822918 0 1002.82717449964 1169.3162759501 1034.60707423079 991.316397387206 1137.33503535445 1055.64957407996 1436.71858245215 1793.25471817806 1712.77943336727 1640.18084572269
"Hurtado_fábulas" 1603.94976353373 1040.51654924372 1982.57456586849 1027.25111738966 1101.8563515049 960.463119443278 1002.82717449964 0 998.633232749705 1088.81212810831 1107.55230526403 1107.43301639707 1010.96613915825 1623.00255573693 1957.65741745055 1952.50529945185 1864.64594146652
"Hurtado_octavas" 1779.46138114951 1113.39091997934 2155.74110162426 978.13686016688 1054.06835997959 1011.72709138145 1169.3162759501 998.633232749705 0 1135.97406917307 1128.67207546071 1129.06916299161 1041.09476137087 1735.81196558198 2080.13319368757 2084.09960442423 1908.72303071075
"Hurtado_poesías_satírico_burlescas" 1645.43570390838 1053.65420349866 2097.83579993509 1110.96103056864 1087.85110690856 1167.48881477598 1034.60707423079 1088.81212810831 1135.97406917307 0 1059.3770271998 1136.8990915812 1134.34963731103 1572.80520813293 1949.35478812455 1874.75701083932 1747.25865570128
"Hurtado_poesías_varias" 1693.91243717836 948.351960440739 2111.86878426877 1039.21598741795 1094.46001469714 1134.14714167678 991.316397387206 1107.55230526403 1128.67207546071 1059.3770271998 0 1194.14900149051 1057.06031530147 1566.50316322583 1928.50132525106 1877.79833485993 1760.21893099626
"Hurtado_sátiras" 1647.15601361843 1171.57196921563 2115.22550787842 1069.89363414266 1168.76036841773 1193.4956894442 1137.33503535445 1107.43301639707 1129.06916299161 1136.8990915812 1194.14900149051 0 1118.75267014105 1687.19643033993 1954.55193111526 1978.12148436356 1819.28807092766
"Hurtado_sonetos" 1758.29967616351 1053.81661498681 2141.5437822251 1004.37585964346 1121.84198579832 1057.93843286786 1055.64957407996 1010.96613915825 1041.09476137087 1134.34963731103 1057.06031530147 1118.75267014105 0 1662.53101763695 2016.86953649355 1978.33602547175 1878.33756896843
"lazarillo_tormes" 1624.40673708432 1552.83207846021 2032.85509917323 1668.22717579121 1700.26526924971 1735.66739576231 1436.71858245215 1623.00255573693 1735.81196558198 1572.80520813293 1566.50316322583 1687.19643033993 1662.53101763695 0 1890.39653416491 1702.14399924884 1792.83424796765
"Valdés_A_dialogo_cosas_acaecidas_roma" 1884.93760603655 1902.42844989929 2244.0007891405 2052.16784802031 2040.64122863639 2133.88606824537 1793.25471817806 1957.65741745055 2080.13319368757 1949.35478812455 1928.50132525106 1954.55193111526 2016.86953649355 1890.39653416491 0 1518.15233954021 1896.77161190656
"Valdés_A_dialogo_mercurio_carón" 1833.33091416648 1841.45016107699 2178.76793644549 2020.2834625319 2006.06193421376 2106.15326934227 1712.77943336727 1952.50529945185 2084.09960442423 1874.75701083932 1877.79833485993 1978.12148436356 1978.33602547175 1702.14399924884 1518.15233954021 0 1896.080941945
"Valdés_J_ dialogo_lengua" 1753.74057593069 1696.84448156626 2318.17743233527 1877.6035636755 1867.30266015137 1964.56766972378 1640.18084572269 1864.64594146652 1908.72303071075 1747.25865570128 1760.21893099626 1819.28807092766 1878.33756896843 1792.83424796765 1896.77161190656 1896.080941945 0
