"Cervantes_Salazar_cronica_ nueva_españa" "Hurtado_ cartas" "Hurtado_ Guerra_Granada" "Hurtado_canciones" "Hurtado_églogas" "Hurtado_elegías" "Hurtado_epístolas" "Hurtado_fábulas" "Hurtado_octavas" "Hurtado_poesías_satírico_burlescas" "Hurtado_poesías_varias" "Hurtado_sátiras" "Hurtado_sonetos" "lazarillo_tormes" "Valdés_A_dialogo_cosas_acaecidas_roma" "Valdés_A_dialogo_mercurio_carón" "Valdés_J_ dialogo_lengua"
"Cervantes_Salazar_cronica_ nueva_españa" 0 1060.39366430147 1045.60526708527 1142.23445625684 1101.93049720967 1123.68073397957 901.986453279723 1014.97757463634 1166.59857097777 982.145159870769 1057.80877051257 963.522055348617 1048.26697052741 903.521652784605 1006.80839799532 1003.22374573982 1002.52945415882
"Hurtado_ cartas" 1060.39366430147 0 1278.16506552591 701.452786828721 710.723625451969 768.141843773 617.80322072694 778.549708028038 899.846306463709 722.868050697596 568.743501175839 803.347839036615 682.239186860708 961.208033148326 1061.34133449364 1047.71214568524 1031.87349406638
"Hurtado_ Guerra_Granada" 1045.60526708527 1278.16506552591 0 1361.856922954 1352.42157876609 1357.25530459408 1135.72747620326 1215.91466684793 1442.68192574225 1247.87952621197 1277.26542343561 1263.2871657569 1292.57909915076 1112.13965256326 1203.33533444683 1158.82479438076 1331.18920046237
"Hurtado_canciones" 1142.23445625684 701.452786828721 1361.856922954 0 702.941942951366 758.331715853178 698.419389199206 776.124938528509 826.571399728277 793.461759501618 696.727051254495 818.083107932409 693.828177344024 1036.80603562792 1176.18586459113 1172.09338541876 1133.19446370138
"Hurtado_églogas" 1101.93049720967 710.723625451969 1352.42157876609 702.941942951366 0 753.698105971639 717.472176105613 810.31295710471 865.931441429491 763.65266590578 714.329776208164 809.531070167951 718.863795009498 1015.75940649941 1121.25562754957 1113.61376423632 1104.1968066123
"Hurtado_elegías" 1123.68073397957 768.141843773 1357.25530459408 758.331715853178 753.698105971639 0 758.608061294468 780.6136341051 868.087023332875 821.492911635653 814.722718446961 898.821190132228 757.622078609376 1077.33004263336 1206.21628043955 1198.03747555239 1173.26469912242
"Hurtado_epístolas" 901.986453279723 617.80322072694 1135.72747620326 698.419389199206 717.472176105613 758.608061294468 0 699.356588298554 901.153216998429 650.353730014863 629.932245919105 726.950012623715 642.279109610553 840.610164007772 977.532016199315 926.395061356402 954.660201852
"Hurtado_fábulas" 1014.97757463634 778.549708028038 1215.91466684793 776.124938528509 810.31295710471 780.6136341051 699.356588298554 0 900.070046172122 800.246538317847 817.988620821383 844.473855250437 759.429247693971 988.869507319048 1136.10523798321 1143.80185316177 1132.02404961757
"Hurtado_octavas" 1166.59857097777 899.846306463709 1442.68192574225 826.571399728277 865.931441429491 868.087023332875 901.153216998429 900.070046172122 0 906.104812548028 899.682373111437 926.68070168693 826.139230873256 1129.31914905711 1238.69090278686 1278.56976737736 1177.6845084082
"Hurtado_poesías_satírico_burlescas" 982.145159870769 722.868050697596 1247.87952621197 793.461759501618 763.65266590578 821.492911635653 650.353730014863 800.246538317847 906.104812548028 0 712.714875229628 747.462898438301 717.949946134473 875.474321298517 1022.0208559186 992.681769237 988.844352973257
"Hurtado_poesías_varias" 1057.80877051257 568.743501175839 1277.26542343561 696.727051254495 714.329776208164 814.722718446961 629.932245919105 817.988620821383 899.682373111437 712.714875229628 0 779.124128721256 678.014320777573 956.529442189221 1055.70344135487 1051.10213746913 1011.18257993582
"Hurtado_sátiras" 963.522055348617 803.347839036615 1263.2871657569 818.083107932409 809.531070167951 898.821190132228 726.950012623715 844.473855250437 926.68070168693 747.462898438301 779.124128721256 0 761.240053216733 977.232867956862 1065.2899225077 1066.57362498092 1029.44511171519
"Hurtado_sonetos" 1048.26697052741 682.239186860708 1292.57909915076 693.828177344024 718.863795009498 757.622078609376 642.279109610553 759.429247693971 826.139230873256 717.949946134473 678.014320777573 761.240053216733 0 959.922405798301 1125.92282906403 1106.67703650023 1075.17101573388
"lazarillo_tormes" 903.521652784605 961.208033148326 1112.13965256326 1036.80603562792 1015.75940649941 1077.33004263336 840.610164007772 988.869507319048 1129.31914905711 875.474321298517 956.529442189221 977.232867956862 959.922405798301 0 944.320967200074 849.493816981275 1002.77369300664
"Valdés_A_dialogo_cosas_acaecidas_roma" 1006.80839799532 1061.34133449364 1203.33533444683 1176.18586459113 1121.25562754957 1206.21628043955 977.532016199315 1136.10523798321 1238.69090278686 1022.0208559186 1055.70344135487 1065.2899225077 1125.92282906403 944.320967200074 0 706.429790996345 990.989691869212
"Valdés_A_dialogo_mercurio_carón" 1003.22374573982 1047.71214568524 1158.82479438076 1172.09338541876 1113.61376423632 1198.03747555239 926.395061356402 1143.80185316177 1278.56976737736 992.681769237 1051.10213746913 1066.57362498092 1106.67703650023 849.493816981275 706.429790996345 0 1008.36091516019
"Valdés_J_ dialogo_lengua" 1002.52945415882 1031.87349406638 1331.18920046237 1133.19446370138 1104.1968066123 1173.26469912242 954.660201852 1132.02404961757 1177.6845084082 988.844352973257 1011.18257993582 1029.44511171519 1075.17101573388 1002.77369300664 990.989691869212 1008.36091516019 0
