"Cervantes_Salazar_cronica_ nueva_españa" "Hurtado_ cartas" "Hurtado_ Guerra_Granada" "Hurtado_canciones" "Hurtado_églogas" "Hurtado_elegías" "Hurtado_epístolas" "Hurtado_fábulas" "Hurtado_octavas" "Hurtado_poesías_satírico_burlescas" "Hurtado_poesías_varias" "Hurtado_sátiras" "Hurtado_sonetos" "lazarillo_tormes" "Valdés_A_dialogo_cosas_acaecidas_roma" "Valdés_A_dialogo_mercurio_carón" "Valdés_J_ dialogo_lengua"
"Cervantes_Salazar_cronica_ nueva_españa" 0 1992.60201776425 2096.46919299321 2080.32460174572 2023.64519736549 2032.73774861551 1777.91425091542 1947.54482556011 1972.96164043473 1850.99773690225 2009.67044293105 1831.34265305121 1960.12355306368 1776.17912704481 1903.33530291945 1942.90572711239 1911.24702402539
"Hurtado_ cartas" 1992.60201776425 0 2426.37154365705 1357.99284618609 1358.40731365108 1443.96294749966 1271.07386951891 1521.68571976969 1549.42215903773 1408.07741999388 1160.92081084257 1548.19521330465 1362.13053154409 1792.50456078294 1964.34161309635 2000.81662912003 1887.09058636489
"Hurtado_ Guerra_Granada" 2096.46919299321 2426.37154365705 0 2562.91921742445 2534.20471535729 2535.20797915099 2203.16893402679 2410.46051230633 2521.9698569009 2394.14462120179 2451.26792067185 2411.63864223429 2470.0487066508 2174.43051815926 2281.81231945244 2216.34935857939 2449.55346179194
"Hurtado_canciones" 2080.32460174572 1357.99284618609 2562.91921742445 0 1292.18421958611 1381.6823947479 1419.04757408801 1478.59618711069 1403.81597300414 1488.39952421917 1373.06432052969 1534.7535471252 1330.70576122479 1911.87007907081 2117.23004754853 2203.46159393048 2029.61301651708
"Hurtado_églogas" 2023.64519736549 1358.40731365108 2534.20471535729 1292.18421958611 0 1358.90982711775 1426.51547406179 1504.0648647723 1428.19701722444 1432.04478369147 1390.55122038716 1495.2418463295 1338.58439866878 1845.30695109146 2019.96262423778 2098.7413309412 1966.90674030694
"Hurtado_elegías" 2032.73774861551 1443.96294749966 2535.20797915099 1381.6823947479 1358.90982711775 0 1486.29377549065 1469.11162991034 1385.52393634768 1495.84509727047 1536.34200253225 1591.62804662195 1394.91190424677 1934.202450188 2122.52209148972 2208.42856711924 2052.91606779678
"Hurtado_epístolas" 1777.91425091542 1271.07386951891 2203.16893402679 1419.04757408801 1426.51547406179 1486.29377549065 0 1435.19046730806 1603.94000931312 1338.18519167868 1309.92712550923 1474.93822148758 1332.77847431837 1642.90202360029 1852.60844078727 1819.6783741272 1798.46907042583
"Hurtado_fábulas" 1947.54482556011 1521.68571976969 2410.46051230633 1478.59618711069 1504.0648647723 1469.11162991034 1435.19046730806 0 1552.8001976616 1540.37834512259 1595.2982015213 1614.20092387026 1497.90222176562 1900.4461837899 2111.60013817197 2210.46586142504 2086.12204741312
"Hurtado_octavas" 1972.96164043473 1549.42215903773 2521.9698569009 1403.81597300414 1428.19701722444 1385.52393634768 1603.94000931312 1552.8001976616 0 1505.82147333103 1571.46727998654 1532.85086862709 1414.47222241634 1881.55859210724 2036.7143960161 2180.61597717508 1927.06302298847
"Hurtado_poesías_satírico_burlescas" 1850.99773690225 1408.07741999388 2394.14462120179 1488.39952421917 1432.04478369147 1495.84509727047 1338.18519167868 1540.37834512259 1505.82147333103 0 1416.44450551311 1416.78962906258 1381.55392719293 1663.55917856848 1907.14588210233 1946.0355365125 1830.54876898945
"Hurtado_poesías_varias" 2009.67044293105 1160.92081084257 2451.26792067185 1373.06432052969 1390.55122038716 1536.34200253225 1309.92712550923 1595.2982015213 1571.46727998654 1416.44450551311 0 1504.60726978213 1353.57692806538 1815.9319400966 1986.38629725061 2040.24689599838 1879.75936024319
"Hurtado_sátiras" 1831.34265305121 1548.19521330465 2411.63864223429 1534.7535471252 1495.2418463295 1591.62804662195 1474.93822148758 1614.20092387026 1532.85086862709 1416.78962906258 1504.60726978213 0 1434.54826225759 1817.77281934935 1964.45569529436 2042.74873190743 1890.84835676231
"Hurtado_sonetos" 1960.12355306368 1362.13053154409 2470.0487066508 1330.70576122479 1338.58439866878 1394.91190424677 1332.77847431837 1497.90222176562 1414.47222241634 1381.55392719293 1353.57692806538 1434.54826225759 0 1804.35560853345 2057.32144224096 2112.2566156433 1949.09777936615
"lazarillo_tormes" 1776.17912704481 1792.50456078294 2174.43051815926 1911.87007907081 1845.30695109146 1934.202450188 1642.90202360029 1900.4461837899 1881.55859210724 1663.55917856848 1815.9319400966 1817.77281934935 1804.35560853345 0 1774.16285418495 1666.69290142738 1852.01475579855
"Valdés_A_dialogo_cosas_acaecidas_roma" 1903.33530291945 1964.34161309635 2281.81231945244 2117.23004754853 2019.96262423778 2122.52209148972 1852.60844078727 2111.60013817197 2036.7143960161 1907.14588210233 1986.38629725061 1964.45569529436 2057.32144224096 1774.16285418495 0 1410.63038791519 1797.01815801329
"Valdés_A_dialogo_mercurio_carón" 1942.90572711239 2000.81662912003 2216.34935857939 2203.46159393048 2098.7413309412 2208.42856711924 1819.6783741272 2210.46586142504 2180.61597717508 1946.0355365125 2040.24689599838 2042.74873190743 2112.2566156433 1666.69290142738 1410.63038791519 0 1882.1158150092
"Valdés_J_ dialogo_lengua" 1911.24702402539 1887.09058636489 2449.55346179194 2029.61301651708 1966.90674030694 2052.91606779678 1798.46907042583 2086.12204741312 1927.06302298847 1830.54876898945 1879.75936024319 1890.84835676231 1949.09777936615 1852.01475579855 1797.01815801329 1882.1158150092 0
